PubMed ID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39783288,Developing Topics.,2024-01-01,Naranjo MP; Camargo F; Rao JS; Delgado-Murillo L; Venegas M; Tangarife MA; Arbelaez MJ; Gutierrez E; Sanchez LT; Shahnawaz S; Ghazaryan V; De Jesus WJ; Grimaldi C; Mukunda R,"IGC Pharma, Bogota, Bogota D.C., Colombia.; IGC Pharma, Bogota, Bogota, Colombia.; IGC Pharma, LLC, Bogota, Colombia.; IGC Pharma, Potomac, MD, USA.; Santa Cruz Behavioral, Bayamon, PR, USA.",Not available
39783265,Developing Topics.,2024-01-01,Puentes PR; Gonzalez N; Crovo D; Grimaldi B; Mukunda R,"IGC Pharma, Bogota, Bogota D.C, Colombia.; IGC Pharma, Potomac, MD, USA.",Not available
39783206,Developing Topics.,2024-01-01,Rodriguez-Soacha D; Canon A; Sanchez LT; Rao JS; Delgado-Murillo L; Venegas M; Tangarife MA; Arbelaez MJ; Gutierrez E; Shahnawaz S; Ghazaryan V; De Jesus WJ; Grimaldi C; Mukunda R,"IGC Pharma, Bogota, Bogota D.C., Colombia.; IGC Pharma, Potomac, MD, USA.; Santa Cruz Behavioral, Bayamon, PR, USA.",Not available
39782951,Alzheimer's Imaging Consortium.,2024-01-01,Falcon C; Kollmorgen G; Vanmechelen E; Perissinotti A; Molinuevo JL; Gispert JD,"ADx NeuroSciences NV, Technologiepark 94, Gent, Belgium.; Centro de Investigacion Biomedica en Red Bioingenieria, Biomateriales y Nanomedicina (CIBER-BBN), Instituto de Salud Carlos III, Madrid, Spain.; Centro de Investigacion Biomedica en Red Bioingenieria, Biomateriales y Nanomedicina, Instituto de Salud Carlos III, Madrid, Spain.; Centro de Investigacion Biomedica en Red de Bioingenieria, Biomateriales y Nanomedicina (CIBER-BBN), Madrid, Spain.; Lundbeck A/S, Copenhagen, Denmark.; Roche Diagnostics GmbH, Penzberg, Germany.",Not available
39782633,Drug Development.,2024-01-01,McDade E; Bateman RJ,"UCB Pharma, Braine-l'Alleud, Belgium.",Not available
39782619,Drug Development.,2024-01-01,Reda SM; Wu W; Setti SE; Berthiaume AA; Taylor RW; Johnston JL; Church KJ,"Athira Pharma, Inc., Bothell, WA, USA.",Not available
39782585,Drug Development.,2024-01-01,Reda SM; Wu W; Berthiaume AA; Setti SE; Taylor RW; Johnston JL; Church KJ,"Athira Pharma, Inc., Bothell, WA, USA.",Not available
39781818,Technology and Dementia Preconference.,2024-01-01,Schoettler M; Sommer H,"Roche Pharma AG, Grenzach-Wyhlen, Baden-Wurttemberg, Germany.",Not available
39780514,Bayesian thresholded modeling for integrating brain node and network predictors.,2024-12-31,Alanis-Lobato G,"Global Computational Biology and Data Sciences, Boehringer Ingelheim Pharma GmbH & Co. KG, Birkendorfer Str, Biberach an der Riss 88400, Germany.",Not available
39779964,Evaluation of clinical risk stratification to determine benefit from long-term versus short-term androgen deprivation in high-risk localized prostate cancer.,2025-01-08,Tombal B,"Cliniques Universitaires Saint-Luc, Brussels, Belgium.","Dana-Farber Cancer Institute, Boston, MA, USA. praful_ravi@dfci.harvard.edu."
39779610,"Therapeutic Potential of Microneedle Assisted Drug Delivery for Wound Healing: Current State of the Art, Challenges, and Future Perspective.",2025-01-08,Kumar M,"Jailani Shiekmydeen, Formulation R&D, Alpha Pharma Industries, KAEC, Rabigh, Saudi Arabia.",Not available
39779259,Do continuous glucose monitoring (CGM) metrics predict macrovascular and microvascular complications in diabetes? The FACULTY protocol of a retrospective real-world cohort study.,2025-01-08,Levrat-Guillen F,"Abbott Laboratories, Maidenhead, Berkshire, UK.","The LIGHT Laboratories, Leeds Institute of Cardiovascular and Metabolic Medicine, University of Leeds, Leeds, UK R.Ajjan@leeds.ac.uk."
39779210,Society for Immunotherapy of Cancer: updates and best practices for multiplex immunohistochemistry (IHC) and immunofluorescence (IF) image analysis and data sharing.,2025-01-08,Eminizer M; Rodig SJ; Schalper KA; Szalay AS; Tetzlaff MT; Wistuba II,"AstraZeneca, Gaithersburg, Maryland, USA.; Daiichi Dankyo, Basking Ridge, New Jersey, USA.; Merck & Co, Rahway, New Jersey, USA.; SR Pathology LLC, Gaithersburg, Maryland, USA.","Mark Foundation Center for Advanced Genomics and Imaging, Johns Hopkins University SOM, Baltimore, Maryland, USA jtaube1@jhmi.edu."
39778975,Cardiovascular events observed among patients in the etrasimod clinical programme: an integrated safety analysis of patients with moderately to severely active ulcerative colitis.,2025-01-08,McDonnell A; Guo X; Green J; Dalam AB; Yarur AJ,"Pfizer AG, Zurich, Switzerland.; Pfizer Inc, Cambridge, Massachusetts, USA.; Pfizer Inc, La Jolla, California, USA.; Pfizer Inc, New York, New York, USA.",Not available
39777610,Tapinarof Improved Outcomes and Sleep for Patients and Families in Two Phase 3 Atopic Dermatitis Trials in Adults and Children.,2025-01-07,Serrao RT; Brown PM; Piscitelli SC; Rubenstein DS; Tallman AM,"Dermatologists of Southwest Ohio, Mason, OH, USA.; Dermavant Sciences, Inc., Morrisville, NC, USA.","Oregon Health and Science University, 3181 S.W. Sam Jackson Park Road, Portland, OR, 97239-3098, USA. simpsone@ohsu.edu."
39777591,Patient experience with eosinophilic esophagitis symptoms and impacts on daily life based on in-trial qualitative interviews.,2025-01-08,Fjallbrant H; Bailey J; McFadden S; Ritchie J,"IQVIA, Deerfield, IL, USA.; Late-stage Respiratory & Immunology, BioPharmaceuticals R&D, AstraZeneca, Gothenburg, Sweden.","Patient Centered Science, BioPharmaceuticals Medical, AstraZeneca, Gaithersburg, MD, USA. calvin.ho@astrazeneca.com."
39777214,Patient perspectives on educational needs in scleroderma-interstitial lung disease.,2025-01-06,Savvaides TM; Di Vitantonio TA; Edgar A; Krishnan JK; Kaner RJ; Spiera R; Lakin KS,"Division of General Internal Medicine, Weill Cornell Medicine, New York, NY, USA.; Division of Pulmonary and Critical Care, Weill Cornell Medicine, New York, NY, USA.",Not available
39777161,Management and disease burden of children and adults with severe IgE-mediated food allergy: Are adults the lost population?,2024-01-01,Bushart G; Mailaender C,"Novartis Pharma GmbH, Nuernberg, Germany.",Not available
39776360,A Multiple-Model-Informed Drug-Development Approach for Optimal Regimen Selection of an Oncolytic Virus in Combination With Pembrolizumab.,2025-01-08,Yamada A; Choules MP; Brightman FA; Takeshita S; Nakao S; Amino N; Nakayama T; Takeuchi M; Komatsu K; Ortega F; Mistry H; Orrell D; Chassagnole C; Bonate PL,"Astellas Pharma Inc., Northbrook, Illinois, USA.; Astellas Pharma Inc., Tokyo, Japan.; Physiomics Plc, Abingdon, UK.",Not available
39776056,"Real-World Prevalence, Incidence and Management of Systemic Lupus Erythematosus in Germany: A Retrospective Claims Data Analysis.",2025-01-08,Schulte M; Garcia TB,"Amgen GmbH, Munich, Germany.; Charite, Universitatsmedizin Berlin, Corporate Member of Freie Universitat Berlin und Humboldt-Universitat zu Berlin, Berlin, Germany.","Charite, Universitatsmedizin Berlin, Corporate Member of Freie Universitat Berlin und Humboldt-Universitat zu Berlin, Berlin, Germany. tobias.alexander@charite.de."
39775071,Implementing proximity care for people with multiple sclerosis in Italy: the bottom-up approach of the StayHome project.,2025-01-07,Quatrale R,"UOC Neurologia, Fondazione Istituto G. Giglio, Contrada Pietrapollastra Snc, Cefalu, Palermo, Italy.","Neurology Unit and Multiple Sclerosis Center, Neurorehabilitation Unit, and Neurophysiology Service, IRCCS San Raffaele Scientific Institute, Via Olgettina, 60, 20132, Milan, Italy. filippi.massimo@hsr.it."
39775043,Neoadjuvant anti-PD-1 alone or in combination with anti-TIGIT or an oncolytic virus in resectable stage IIIB-D melanoma: a phase 1/2 trial.,2025-01-07,Ren Y; Fukunaga-Kalabis M; Krepler C; Long GV,"Merck & Co. Inc., Rahway, NJ, USA.","University Hospital Zurich, Zurich, Switzerland. reinhard.dummer@usz.ch."
39775041,Intracerebroventricular anaerobic dopamine in Parkinson's disease with L-dopa-related complications: a phase 1/2 randomized-controlled trial.,2025-01-07,Labreuche J; Touzet G; Lannoy D; Palas B; Vasseur M; Marchand F; Ollivier T; Carton L; Fisichella M,"InBrain Pharma, Lille, France.; Pharmacy CHU Lille, Lille, France.",Not available
39774900,Prevalence of urinary tract infections in women with vulvovaginal atrophy and the impact of vaginal prasterone on the rate of urinary tract infections.,2025-01-07,Moyneur E; Dea K; Dury AY,"Cosette Pharmaceuticals, Inc, Bridgewater, NJ.; Statlog Econometrics, Inc, Montreal, Quebec, Canada.",Not available
39774762,Patient-Reported Improvements in Patients with PNH Treated with Iptacopan from Two Phase 3 Studies.,2025-01-07,Bermann G; Dahlke M,"Novartis Pharma AG, Basel, Switzerland.; Novartis Pharma AG, Novartis Campus, Switzerland.",Not available
39774684,"Adjuvant endocrine therapy with cyclin-dependent kinase 4/6 inhibitor, ribociclib, for localized hormone receptor-positive/HER2- breast cancer (LEADER).",2025-01-07,Kalashnikova E; Rodriguez A; Liu MC; Aleshin A,"Natera Inc., Austin, TX, USA.",Not available
39774313,Xalnesiran with or without an Immunomodulator in Chronic Hepatitis B.,2024-12-05,Hou J; Zhang W; Xie Q; Hua R; Tang H; Morano Amado LE; Yang SS; Peng CY; Su WW; Chuang WL; Kim DJ; Avihingsanon A; Kao JH; Leerapun A; Yuen MF; Asselah T; Liang X; Bo Q; Canducci F; Catanese MT; Chen E; Cheng C; Chughlay F; Das S; Glavini K; Guerreiro N; Huang Y; Kakrana P; Kazma R; Patil A; Pavlovic V; Surujbally B; Triyatni M; Upmanyu R; Wat C; Gane E,"Enthera Pharmaceuticals, Milan (F. Canducci); F. Hoffmann-La Roche, Basel, Switzerland (F. Canducci, M.T.C., F. Chughlay, K.G., N.G., P.K., R.K., M.T.); From the Department of Infectious Diseases and Hepatology Unit, Nanfang Hospital, Southern Medical University (J.H., X.L.), and the State Key Laboratory of Organ Failure Research, Key Laboratory of Infectious Diseases Research in South China, Ministry of Education, Guangdong Institute of Hepatology, Nanfang Hospital (J.H.), Guangzhou, the Department of Infectious Diseases and Biosafety Emergency Response, Huashan Hospital, Fudan University (W.Z.), the Department of Infectious Diseases, Ruijin Hospital, Shanghai Jiaotong University School of Medicine (Q.X.), Roche Holding (Q.B., E.C.), Roche Research and Development Center (C.C., Y.H.), and Takeda APAC Biopharmaceutical Research and Development (Q.B.), Shanghai, the Department of Hepatology, Center of Infectious Diseases and Pathogen Biology, First Hospital of Jilin University, Changchun (R.H.), the Center of Infectious Diseases, Laboratory of Infectious and Liver Disease, Institute of Infectious Diseases, West China Hospital, Sichuan University, Chengdu (H.T.), and the Department of Medicine and State Key Laboratory of Liver Research, Queen Mary Hospital, University of Hong Kong, Hong Kong (M.-F.Y.) - all in China; Parexel International, Hyderabad, India (A.P.); Roche Products, Welwyn Garden City (S.D., V.P., B.S., R.U., C.W.), and ID Pharma Consultancy, Yelverton (C.W.) - both in the United Kingdom; Universite de Paris-Cite, Department of Hepatology, Assistance Publique-Hopitaux de Paris, Hopital Beaujon, Centre de Recherche sur l'Inflammation, INSERM Unite Mixte de Recherche 1149, Paris (T.A.); and the New Zealand Liver Transplant Unit, Auckland City Hospital, Auckland, New Zealand (E.G.).; the Department of Internal Medicine, Hallym University College of Medicine, Chuncheon, South Korea (D.J.K.); the Division of Gastroenterology and Hepatology, Department of Internal Medicine, Taichung Veterans General Hospital (S.-S.Y.), and the Center for Digestive Medicine, Department of Internal Medicine, China Medical University Hospital, China Medical University (C.-Y.P.), Taichung, the Department of Internal Medicine, Changhua Christian Hospital, Changhua (W.-W.S.), Kaohsiung Medical University Hospital, Kaohsiung Medical University, Kaohsiung (W.-L.C.), and National Taiwan University Hospital, Taipei (J.-H.K.) - all in Taiwan; the Division of Infectious Diseases, University Hospital Alvaro Cunqueiro, Galicia Sur Health Research Institute, Servizo Galego de Saude-Universidade de Vigo, Vigo, Spain (L.E.M.A.); the HIV Netherlands Australia Thailand Research Collaboration, Thai Red Cross AIDS Research Center and the Center of Excellence in Tuberculosis, Faculty of Medicine, Chulalongkorn University, Bangkok (A.A.), and the Department of Internal Medicine, Faculty of Medicine, Chiang Mai University, Chiang Mai (A.L.) - both in Thailand",Not available
39773824,"Polymer-free versus biodegradable-polymer drug-eluting stent in patients undergoing percutaneous coronary intervention: an assessor-blind, non-inferiority, randomised controlled trial.",2025-01-06,Carrara G; Stabile E; Boccalatte M; Russolillo E; Perrotta R,"Advice Pharma Group, Milan, Italy.; Division of Cardiology, Azienda Ospedaliera Regionale ""San Carlo"", Potenza, Italy.; Division of Cardiology, Ospedale San Giovanni Bosco, Naples, Italy.; Division of Cardiology, Ospedale Santa Maria delle Grazie, Pozzuoli, Italy.; Division of Interventional Cardiology, A.O.R.N. Sant'Anna e San Sebastiano, Caserta, Italy.",Not available
39773809,Sensory alterations and immunological changes during the chronification of postsurgical pain: a study protocol for a prospective observational cohort study.,2025-01-07,Eijkelkamp N,"Anesthesiololgy, Intensive Care and Pain Management, Sint Antonius Ziekenhuis, Nieuwegein, The Netherlands.","Pain Clinic, Department of Anesthesiology, University Medical Centre Utrecht, Utrecht, The Netherlands m.e.c.vandriel-4@umcutrecht.nl."
39773805,Is longer really better? Results of a retrospective real-life cohort study evaluating the benefit of adding a weekly educational session to a traditional 8-week home-based pulmonary rehabilitation programme in people with COPD.,2025-01-07,Chenivesse C,"Santelys HAD, F-59120 Loos, France.","FormAction Sante, F-59840 Perenchies, France sarah.gephine@univ-lille.fr."
39773376,Risk prediction modeling for cardiorenal clinical outcomes in patients with non-diabetic CKD using US nationwide real-world data.,2025-01-07,Schuchhardt J; Bauer C; Brinker M; Kleinjung F; Vaitsiakhovich T,"Bayer AG, Berlin, Germany.; Bayer AG, Wuppertal, Germany.; MicroDiscovery GmbH, Berlin, Germany.","Medizinische Klinik Und Poliklinik 1, Schwerpunkt Nephrologie, Universitatsklinik Wurzburg, Wurzburg, Germany. wanner_c@ukw.de."
39772039,Expression of an Efficient Selection Marker Out of a Duplicated Site in the ITRs of a Modified Vaccinia Virus Ankara (MVA).,2024-12-06,Abidi S; Elhazaz Fernandez A; Hanisch L; Karlas A; Sandig V; Jordan I,"ProBioGen AG, 13086 Berlin, Germany.; Tentamus Pharma & Med Deutschland GmbH, 76149 Karlsruhe, Germany.",Not available
39771607,Twin Screw Melt Granulation of Simvastatin: Drug Solubility and Dissolution Rate Enhancement Using Polymer Blends.,2024-12-23,Karry K,"BASF Corporation, Pharma Solutions, Tarrytown, NY 10591, USA.",Not available
39771586,"Dendrimers: A Themed Issue in Honor of Professor Donald A. Tomalia on the Occasion of His 85th Birthday, Recognizing His Outstanding Achievements in Advancing the Field of Dendrimers.",2024-12-17,Caminade AM,"Laboratoire de Chimie de Coordination (LCC-CNRS) 205 Route de Narbonne, CEDEX 4, 31077 Toulouse, France.",Not available
39771578,Antimicrobial Preservatives in Cyclodextrin-Containing Drug Formulations.,2024-12-16,Loftsson T,"Horus-Pharma, Departement des Operations Industrielles, 22, allee Camille-Muffat, bat. Inedi 5, 06200 Nice, France.",Not available
39771541,Buccal Absorption of Biopharmaceutics Classification System III Drugs: Formulation Approaches and Mechanistic Insights.,2024-12-06,Kirby D; Malgorzata K; Mohammed AR,"Catalent Pharma Solutions U.K. Swindon Zydis(R) Limited, Swindon SN5 8RU, UK.",Not available
39771526,Experimental Investigation of Spray Drying Breakup Regimes of a PVP-VA 64 Solution Using High-Speed Imaging.,2024-12-02,Gryczke A; Ries F,"AbbVie Deutschland GmbH & Co. KG, Knollstrasse, 67061 Ludwigshafen am Rhein, Germany.",Not available
39770841,"The Daunomycin: Biosynthesis, Actions, and the Search for New Solutions to Enhance Production.",2024-12-19,Benes K; Matha V,"VUAB Pharma A.S, Nemanicka 2722, 370 01 Ceske Budejovice, Czech Republic.",Not available
39770485,Peptide-Purified Anti-N-methyl-D-aspartate Receptor (NMDAR) Autoantibodies Have Inhibitory Effect on Long-Term Synaptic Plasticity.,2024-12-06,Silva JP; Munro R; Mullier B; Andre VM; Wolff C,"UCB Pharma, 208 Bath Road, Slough SL1 3WE, UK.; UCB Pharma, Chemin du Foriest, 1420 Braine l'Alleud, Belgium.",Not available
39770217,Intestinal Cells-on-Chip for Permeability Studies.,2024-11-30,Donkers J,"ARTIC Technologies B.V., 5612 AE Eindhoven, The Netherlands.",Not available
39769309,Indocyanine Blue (ICB) as a Functional Alternative to Indocyanine Green (ICG) for Enhanced 700 nm NIR Imaging.,2024-12-18,Frangioni JV,"Curadel Pharma, Inc., Natick, MA 01760, USA.",Not available
39768175,Discovery of Carbonic Anhydrase 9 as a Novel CLEC2 Ligand in a Cellular Interactome Screen.,2024-12-17,Hoffmann S; Berger BT; Lucas LR; Schiele F; Park JE,"Division of Biotherapeutics Discovery, Boehringer Ingelheim Pharma GmbH & Co. KG, 88397 Biberach, Germany.; Division of Cancer Immunology and Immune Modulation, Boehringer Ingelheim Pharma GmbH & Co. KG, 88397 Biberach, Germany.; Division of High-Throughput Biology, Boehringer Ingelheim Pharma GmbH & Co. KG, 88397 Biberach, Germany.",Not available
39767827,Acute Myeloid Leukemia with Normal Cytogenetics and NPM1-Mutation: Impact of Mutation Topography on Outcomes.,2024-12-23,Qin J; Cao S; Chang Y,"Acornmed Biotechnology Co., Ltd., Floor 18, Block 5, Yard 18, Kechuang 13 RD, Beijing 100176, China.",Not available
39766443,Use of the MNCD Classification to Monitor Clinical Stage and Response to Levodopa-Entacapone-Carbidopa Intestinal Gel Infusion in Advanced Parkinson's Disease.,2024-12-12,Lopez-Manzanares L; Lorenzo-Barreto P,"Fundacion Degen, 15006 A Coruna, Spain.; Grupo de Investigacion en Enfermedad de Parkinson y otros Trastornos del Movimiento, INIBIC (Instituto de Investigacion Biomedica de A Coruna), 15006 A Coruna, Spain.",Not available
39766398,Mitochondrial Dysfunction as a Biomarker of Illness State in Bipolar Disorder: A Critical Review.,2024-11-28,Andreu H; Ochandiano I; Stoppa A; Andreazza AC; Pacchiarotti I,"Institut d'Investigacions Biomediques August Pi i Sunyer (IDIBAPS), c. Villarroel, 170, 08036 Barcelona, Spain.",Not available
39764572,The role of patent analysis in target selection.,2025-01-08,Donovan DHO; Wang W; Sheppeck J; de Bruin G,"Oncology R&D, AstraZeneca, Cambridge, UK.; Oncology R&D, AstraZeneca, Waltham, MA, USA.; R&D, Acerta Pharma B.V., Oss, Netherlands.",Not available
39764201,"Incidence and impact of other malignancies after immunochemotherapy by fludarabine, cyclophosphamide, and rituximab as frontline treatment for chronic lymphocytic leukemia: A single-center retrospective study.",2025-01-01,Stocker N; Corre E; Ricard L; Kaoui F; Brissot E; Dulery R; Banet A; Legrand O; Mohty M; Marjanovic Z,Service d'Hematologie Clinique et Therapie Cellulaire Hopital Saint-Antoine.,Not available
